,0,1,,,
SVC_Biomineralization_train_ratio_1_1_test_ratio,0.896297387,0.78,,,
LinearSVC_Biomineralization_train_ratio_1_1_test_ratio,0.890680201,0.78,,,
LR_Biomineralization_train_ratio_1_1_test_ratio,0.884686423,0.77,,,
SVC_Biomineralization_train_ratio_1_4_test_ratio,0.862915082,0.78,,,
LinearSVC_Biomineralization_train_ratio_1_4_test_ratio,0.847871096,0.78,,,
LR_Biomineralization_train_ratio_1_4_test_ratio,0.848634124,0.77,,,
SVC_Chlorophyceae_train_ratio_1_1_test_ratio,0.846186262,0.77,,,
LinearSVC_Chlorophyceae_train_ratio_1_1_test_ratio,0.846186262,0.77,,,
LR_Chlorophyceae_train_ratio_1_1_test_ratio,0.853985723,0.77,,,
SVC_Chlorophyceae_train_ratio_1_4_test_ratio,0.822440983,0.77,,,`
LinearSVC_Chlorophyceae_train_ratio_1_4_test_ratio,0.821538106,0.77,,,
LR_Chlorophyceae_train_ratio_1_4_test_ratio,0.840460406,0.77,,,
SVC_Cytoglobin_train_ratio_1_1_test_ratio,0.925323937,0.76,,,
LinearSVC_Cytoglobin_train_ratio_1_1_test_ratio,0.917490219,0.76,,,
LR_Cytoglobin_train_ratio_1_1_test_ratio,0.943629344,0.76,,,
SVC_Cytoglobin_train_ratio_1_4_test_ratio,0.911734224,0.76,,,
LinearSVC_Cytoglobin_train_ratio_1_4_test_ratio,0.907247932,0.76,,,
LR_Cytoglobin_train_ratio_1_4_test_ratio,0.900686277,0.76,,,
